,address,driving_time_to_parents
1897,"Dagan St.  5,Even Yehuda",1 hr - 1 hr 50 min
1898,"Ha-Rav Alnekave St.  34,Tel Aviv-Yafo",30 - 55 min
1899,"Ha-Rav Alnekave St.  44,Tel Aviv-Yafo",30 - 50 min
1900,"Itiel St.  17,Tel Aviv-Yafo",30 - 55 min
1901,"Moshe Dayan Road  26,Tel Aviv-Yafo",30 - 50 min
1902,"Moshe Dayan Road  34,Tel Aviv-Yafo",28 - 50 min
1903,HaPalmah St. Tel Aviv-Yafo,30 - 55 min
1904,"Shlomo Ibn Gabirol St.  116,Tel Aviv-Yafo",40 min - 1 hr 10 min
1905,Shalma Road Tel Aviv-Yafo,28 - 50 min
1906,"Mikve Israel St.  4,Tel Aviv-Yafo",30 min - 1 hr
1907,"Maapilei Egoz St.  84,Tel Aviv-Yafo",30 min - 1 hr
1908,"Ivri St.  4,Tel Aviv-Yafo",28 - 50 min
1909,"Mahal St.  14,Tel Aviv-Yafo",30 - 50 min
1910,"Yad HaMaavir St.  1,Tel Aviv-Yafo",45 min - 1 hr 15 min
1911,Uri Tsvi Grinberg St. Tel Aviv-Yafo,45 min - 1 hr 20 min
1912,"Ben Yehuda St.  36,Tel Aviv-Yafo",40 min - 1 hr 20 min
1913,"Shloshet ha-Khitsim St.  3,Tel Aviv-Yafo",28 - 45 min
1914,"Sderot Hachmei Israel  58,Tel Aviv-Yafo",28 - 55 min
1915,"Livne St.  6,Tel Aviv-Yafo",30 - 55 min
1916,"Maapilei Egoz St.  39,Tel Aviv-Yafo",30 - 55 min
1917,Ringelblum St. Tel Aviv-Yafo,26 - 45 min
1918,"Netaim St.  21,Tel Aviv-Yafo",30 - 55 min
1919,Isaac Stern St. Tel Aviv-Yafo,45 min - 1 hr 15 min
1920,"Ben Akhituv St.  7,Tel Aviv-Yafo",26 - 50 min
1921,"Wingate St.  1,Tel Aviv-Yafo",
1922,"Maapilei Egoz St.  38,Tel Aviv-Yafo",30 - 55 min
1923,"Yunitsman St.  1,Tel Aviv-Yafo",45 min - 1 hr 15 min
1924,"Mahal St.  62,Tel Aviv-Yafo",30 - 55 min
1925,HaKongres St. Tel Aviv-Yafo,
1926,"Shlomo Ibn Gabirol St.  116,Tel Aviv-Yafo",40 min - 1 hr 10 min
1927,Shaul Avigur St. Tel Aviv-Yafo,
1928,"Shvat St.  28,Tel Aviv-Yafo",28 - 45 min
1929,"Wingate St.  1,Tel Aviv-Yafo",
1930,Michelangelo St. Tel Aviv-Yafo,26 - 50 min
1931,Sderot Levi Eshkol Tel Aviv-Yafo,40 min - 1 hr 15 min
1932,Haskel St. Tel Aviv-Yafo,30 - 55 min
1933,"Hartuv St.  9,Tel Aviv-Yafo",30 - 55 min
1934,Shtulim St. Tel Aviv-Yafo,28 - 50 min
1935,"Mount Hermon  1,Or Yehuda",NA
1936,"Tamuz St.  21,Tel Aviv-Yafo",28 - 45 min
1937,Lehi Road Tel Aviv-Yafo,28 - 45 min
1938,HaYarkon St. Tel Aviv-Yafo,40 min - 1 hr 15 min
1939,"Mahal St.  70,Tel Aviv-Yafo",30 - 55 min
1940,Shtulim St. Tel Aviv-Yafo,28 - 50 min
1941,"Shlomo Ibn Gabirol St.  116,Tel Aviv-Yafo",40 min - 1 hr 10 min
1942,"Sderot Sheshet HaYamim  30,Tel Aviv-Yafo",30 - 55 min
1943,Tagore St. Tel Aviv-Yafo,45 min - 1 hr 15 min
1944,"Maapilei Egoz St.  40,Tel Aviv-Yafo",30 - 55 min
1945,"Haim Barlev Road  173,Tel Aviv-Yafo",30 - 55 min
1946,"Tsonzer St.  6,Tel Aviv-Yafo",26 - 45 min
1947,"Lehi Road  36,Tel Aviv-Yafo",26 - 45 min
1948,"Wingate St.  1,Tel Aviv-Yafo",
1949,"Sderot Yad LaBanim  23,Tel Aviv-Yafo",
1950,Ein Ganim St. Petah Tikva,40 min - 1 hr 10 min
1951,Ein Ganim St. Petah Tikva,40 min - 1 hr 10 min
1952,Ha-Hagana St. Bat Yam,26 - 45 min
1953,Brenner St. Bat Yam,24 - 45 min
1954,HaTsanhanim St. Holon,28 - 55 min
1955,"Ibn Gabirol St.  45,Afula",1 hr 30 min - 2 hr 30 min
1956,"Dudu Dotan St.  6,Netanya",1 hr 5 min - 1 hr 40 min
1957,"Sderot HaKongres  22,Ramat Gan",35 min - 1 hr 5 min
1958,"Sderot Moshe Sharet  19,Kiryat Yam",NA
1959,"Beeri St.  10,Netanya",NA
1960,"Ha-Podim St.  4,Ramat Gan",40 min - 1 hr 10 min
1961,Uzi Hitman St. Ramla,
1962,Ein Dor St. Rishon LeTsiyon,20 - 40 min
1963,Weizmann St. Tel Aviv-Yafo,40 min - 1 hr 10 min
1964,"HaRav Maze St.  1,Netanya",1 hr 10 min - 1 hr 50 min
1965,Derech Raziel Netanya,1 hr 10 min - 1 hr 50 min
1966,"HaBrigada HaYehudit St.  48,Netanya",1 hr 5 min - 1 hr 40 min
1967,"Balfour St.  11,Netanya",1 hr 10 min - 1 hr 50 min
1968,"Smilanski St.  69,Netanya",1 hr 10 min - 1 hr 50 min
1969,"Ha-Rav Nisim St.  15,Ashdod",26 - 55 min
1970,"Balfour St.  60,Nahariyya",1 hr 50 min - 3 hr
1971,Khokhit St. Beer Sheva,1 hr 5 min - 1 hr 40 min
1972,"Aba Hillel Silver St.  15,Ashdod",26 - 55 min
1973,Levi Eshkol St. Nahariyya,1 hr 50 min - 3 hr
1974,"HaKerem St.  19,Acre",1 hr 50 min - 2 hr 50 min
1975,Ben Yehuda St. Tel Aviv-Yafo,45 min - 1 hr 20 min
1976,Ben Yehuda St. Tel Aviv-Yafo,45 min - 1 hr 20 min
1977,Ayit St. Beer Sheva,
1978,Ben Yehuda St. Tel Aviv-Yafo,45 min - 1 hr 20 min
1979,Ben Asher St. Beer Sheva,55 min - 1 hr 25 min
1980,Ben Yehuda St. Tel Aviv-Yafo,45 min - 1 hr 20 min
1981,Ben Yehuda St. Tel Aviv-Yafo,45 min - 1 hr 20 min
1982,Kalman Porat St. Beer Sheva,55 min - 1 hr 20 min
1983,Yerushalayim St. Bat Yam,24 - 45 min
1984,Avraham Nisan St. Jerusalem,50 min - 1 hr 20 min
1985,"Sheshet HaYamim St.  6,Jerusalem",45 min - 1 hr 20 min
1986,Dam ha-Maccabim St. Tel Aviv-Yafo,35 min - 1 hr
1987,Ha-Raaba St. Tel Aviv-Yafo,30 - 55 min
1988,"Ha-Tavor St.  5,Ramla",14 - 28 min
1989,"Dakar St.  9,Lod",20 - 45 min
1990,"HaAlonim Boulevard  2,Beer Yaakov",16 - 35 min
1991,HaAlonim Boulevard Beer Yaakov,
1992,Ha-Gefen St. Beer Yaakov,18 - 40 min
1993,"HaHashmal St.  10,Haifa",1 hr 30 min - 2 hr 20 min
1994,Derekh Shimshon Tsur Rehovot,3 min
1995,"Don Yosef HaNasi St.  3,Holon",26 - 45 min
1996,"Derech Ben Gurion  83,Bat Yam",26 - 50 min
1997,HaKotel HaMaaravi St. Beer Sheva,1 hr - 1 hr 40 min
1998,"Bazelet St.  14,Rosh Haayin",40 min - 1 hr 15 min
1999,Basel St. Beer Sheva,1 hr - 1 hr 40 min
2000,Olei HaGardom St. Beer Sheva,1 hr - 1 hr 40 min
2001,Hazani St. Beer Sheva,55 min - 1 hr 30 min
2002,Khogla St. Beer Sheva,1 hr - 1 hr 40 min
2003,Bar Yokhai St. Jerusalem,50 min - 1 hr 25 min
2004,"Hazani St.  34,Beer Sheva",55 min - 1 hr 30 min
2005,Bar Kokhva St. Yeruham,1 hr 20 min - 2 hr
2006,Yitskhak Welbar St. Beer Sheva,1 hr - 1 hr 40 min
2007,Kalischer St. Be'er Sheva,1 hr - 1 hr 30 min
2008,Alfasi St. Beer Sheva,55 min - 1 hr 30 min
2009,Gideon Hausner St. Beer Sheva,
2010,Beit El St. Beer Sheva,1 hr - 1 hr 40 min
2011,"Brenner St.  13,Tiberias",1 hr 40 min - 2 hr 40 min
2012,Amnon veTamar St. Ramla,14 - 28 min
2013,"Nahal Zohar St.  52,Modiin-Maccabim-Reut",22 - 40 min
2014,"Ha-Rav Herzog St.  53,Beer Sheva",55 min - 1 hr 30 min
2015,HaRav Yehya Kapah St. Beer Sheva,1 hr - 1 hr 30 min
2016,Mekor Khayim St. Beer Sheva,1 hr - 1 hr 40 min
2017,Yosef Burg St. Beer Sheva,NA
2018,"Kalischer St.  48,Beer Sheva",
2019,David HaMelech St. Beer Sheva,55 min - 1 hr 30 min
2020,"Havakuk HaNavi St.  4,Ashdod",26 - 50 min
2021,Sderot Yerushalayim Beersheba,1 hr - 1 hr 40 min
2022,"Mevo Hama  6,Rishon LeTsiyon",20 - 40 min
2023,Derech HaShalom Beersheba,1 hr - 1 hr 40 min
2024,"Mivtsa Moshe St.  21,Be'er Sheva",1 hr - 1 hr 40 min
2025,"Betsalel St.  31,Beer Sheva",1 hr - 1 hr 40 min
2026,Olei HaGardom St. Beer Sheva,1 hr - 1 hr 40 min
2027,Eliyahu ha-Navi St. Be'er Sheva,55 min - 1 hr 25 min
2028,Martin Buber St. Rishon LeTsiyon,18 - 35 min
2029,"Elul St.  7,Ashdod",28 - 55 min
2030,"Fikus St.  5,Tel Aviv-Yafo",24 - 45 min
2031,"David HaMelech St.  21,Beer Sheva",55 min - 1 hr 30 min
2032,"HaRav Tana St.  12,Beer Sheva",1 hr - 1 hr 50 min
2033,Abba Eban St. Jerusalem,45 min - 1 hr 20 min
2034,"אורגד  3,Netanya",1 hr 10 min - 1 hr 50 min
2035,Moshe Hess St. Holon,24 - 50 min
2036,Ha-Rav Yaakov Berman St. Rehovot,10 - 20 min
2037,Tel-Chay Boulevard Ashdod,
2038,"HaSlav St.  11,Jerusalem",50 min - 1 hr 25 min
2039,Uruguay St. Jerusalem,50 min - 1 hr 25 min
2040,Herzog St. Ra'anana,50 min - 1 hr 25 min
2041,"HaHagana St.  38,Givatayim",35 min - 1 hr 5 min
2042,"Snunit St.  60,Ness Ziona",12 - 20 min
2043,HaMigdal HaLavan St. Ramla,14 - 28 min
2044,"Mordekhai ha-Yehudi St.  15,Jerusalem",55 min - 1 hr 40 min
2045,"HaMargalit St.  2,Jerusalem",55 min - 1 hr 25 min
2046,"Barak St.  21,Ariel",55 min - 1 hr 30 min
2047,"Simha Holtsberg St.  15,Ramla",16 - 35 min
2048,"Nitsa Boulevard  8,Netanya",1 hr 10 min - 1 hr 50 min
2049,Yedaaya ha-Pnini St. Tel Aviv-Yafo,28 - 50 min
2050,"Gadish St.  10,Tel Aviv-Yafo",28 - 50 min
2051,"Vered St.  20,Tel Aviv-Yafo",30 - 50 min
2052,"Misgav Am St.  12,Tel Aviv-Yafo",28 - 50 min
2053,"Vered St.  20,Tel Aviv-Yafo",30 - 50 min
2054,"Gadish St.  10,Tel Aviv-Yafo",28 - 50 min
2055,Khaviva Reik St. Tel Aviv-Yafo,30 - 55 min
2056,"Khaviva Reik St.  1,Tel Aviv-Yafo",30 - 55 min
2057,"Misgav Am St.  12,Tel Aviv-Yafo",28 - 50 min
2058,"Ahimaats St.  24,Tel Aviv-Yafo",30 - 55 min
2059,"Ahvat Adam St.  1,Kfar Yona",1 hr - 1 hr 40 min
2060,"Ha-93 St.  4,Netanya",1 hr 10 min - 1 hr 50 min
2061,"Egoz St.  16,Lod",18 - 40 min
2062,Helets St. Rishon LeTsiyon,16 - 30 min
2063,Helets St. Rishon LeTsiyon,16 - 30 min
2064,Helets St. Rishon LeTsiyon,16 - 30 min
2065,"HaTanaim St.  13,Netanya",1 hr 10 min - 1 hr 50 min
2066,"Meir Nakar St.  39,Jerusalem",1 hr - 1 hr 50 min
2067,Ha-Hagana St. Bat Yam,26 - 45 min
2068,Rogozin St. Ashdod,28 min - 1 hr
2069,"HaMaapilim St.  17,Bat Yam",22 - 40 min
2070,HaTanaim St. Holon,20 - 35 min
2071,"Herzl St.  2,Bat Yam",26 - 45 min
2072,"Moshe Stav St.  5,Beer Sheva",1 hr - 1 hr 40 min
2073,Moshe Dayan St. Holon,20 - 35 min
2074,Olei HaGardom St. Netanya,1 hr 5 min - 1 hr 40 min
2075,Emek Dotan St. Holon,22 - 40 min
2076,Ha-Palmakh St. Holon,28 - 45 min
2077,HaLohamim St. Even Yehuda,55 min - 1 hr 40 min
2078,Nov St. Rishon LeTsiyon,22 - 40 min
2079,Sderot Oved Ben Ami Netanya,NA
2080,Ha-Dekel St. Ashdod,28 min - 1 hr
2081,"Menora St.  6,Jerusalem",45 min - 1 hr 25 min
2082,Rabi Nekhemya Mota St. Rishon LeTsiyon,18 - 35 min
2083,"Tnuot ha-Noar St.  13,Rishon LeTsiyon",NA
2084,Yehuda Leib Pinsker St. Rishon LeTsiyon,
2085,Livorno St. Bat Yam,24 - 40 min
2086,Korkidi St. Tel Aviv-Yafo,26 - 45 min
2087,Emek HaHula St. Ramat Gan,35 min - 1 hr 10 min
2088,"Pnina U-Moshe St.  3,Rishon LeTsiyon",22 - 40 min
2089,"Herzl St.  38,Netanya",1 hr 10 min - 1 hr 50 min
2090,"Mordei ha-Getaot St.  40,Rishon LeTsiyon",18 - 35 min
2091,"Khakhmei Atuna St.  52,Tel Aviv-Yafo",28 - 55 min
2092,Elul St. Ashdod,28 - 55 min
2093,Khartsit St. Netanya,1 hr 5 min - 1 hr 40 min
2094,"Yonatan Netanyahu St.  6,Ashkelon",35 min - 1 hr 5 min
2095,"Shlomo Eliraz St.  1,Rishon LeTsiyon",20 - 40 min
2096,"Yehuda Halevi St.  3,Rishon LeTsiyon",20 - 40 min
2097,Aba Akhimeir St. Tel Aviv-Yafo,45 min - 1 hr 15 min
2098,Ha-Atsmaut St. Ashdod,28 - 55 min
2099,Dov Yosef St. Beer Sheva,1 hr - 1 hr 30 min
2100,Mivtsa Moshe St. Be'er Sheva,1 hr - 1 hr 40 min
2101,"Lehi St.  10,Netanya",1 hr 10 min - 1 hr 50 min
2102,Keren HaYesod St. Bat Yam,22 - 40 min
2103,"Herzl St.  88,Bat Yam",26 - 50 min
2104,Mikhael Neeman St. Tel Aviv-Yafo,50 min - 1 hr 15 min
2105,"HaRav Tana St.  10,Beer Sheva",1 hr - 1 hr 40 min
2106,"Ha-Tsiyonut St.  71,Ashdod",28 - 55 min
2107,"Etsel St.  13,Ramat Gan",35 min - 1 hr 10 min
2108,Ha-Rishonim St. Petah Tikva,45 min - 1 hr 15 min
2109,Ben Yehuda St. Tel Aviv-Yafo,45 min - 1 hr 20 min
2110,"Trumpeldor St.  58,Tel Aviv-Yafo",40 min - 1 hr 15 min
2111,Arnon St. Tel Aviv-Yafo,40 min - 1 hr 20 min
2112,Israelis St. Tel Aviv-Yafo,40 min - 1 hr 20 min
2113,Ben Yehuda St. Tel Aviv-Yafo,45 min - 1 hr 20 min
2114,"HaNesiim St.  10,Tel Aviv-Yafo",40 min - 1 hr 5 min
2115,HaYarkon St. Tel Aviv-Yafo,40 min - 1 hr 15 min
2116,"Yeshurun St.  3,Tel Aviv-Yafo",40 min - 1 hr 15 min
2117,Rav Hai Gaon St. Tel Aviv-Yafo,26 - 45 min
2118,Metsada St. Tel Aviv-Yafo,45 min - 1 hr 20 min
2119,Yisrael Galili St. Tel Aviv-Yafo,40 min - 1 hr 15 min
2120,Mapu St. Tel Aviv-Yafo,40 min - 1 hr 15 min
2121,Rachel Imenu St. Jerusalem,55 min - 1 hr 30 min
2122,Ha-Shlosha St. Bat Yam,24 - 40 min
2123,Shalom Aleichem St. Bat Yam,26 - 50 min
2124,Shalom Aleichem St. Bat Yam,26 - 50 min
2125,Masaryk St. Bat Yam,
2126,Masaryk St. Bat Yam,
2127,Masaryk St. Bat Yam,
2128,"Shalom Aleichem St.  2,Bat Yam",26 - 50 min
2129,"Sheshet ha-Yamim St.  30,Bat Yam",24 - 45 min
2130,Shalom Aleichem St. Bat Yam,26 - 50 min
2131,Shalom Aleichem St. Bat Yam,26 - 50 min
2132,Arieh Ben Eliezer St. Jerusalem,50 min - 1 hr 25 min
2133,"HaNofech St.  243,Jerusalem",50 min - 1 hr 20 min
2134,Sderot Hativat Yiftach Lod,18 - 45 min
2135,Yakinton St. Jerusalem,55 min - 1 hr 25 min
2136,"Hativat Carmeli St.  23,Haifa",1 hr 30 min - 2 hr 10 min
2137,HaBrigada HaYehudit St. Netanya,1 hr 5 min - 1 hr 40 min
2138,Ha-Asif St. Haifa,1 hr 30 min - 2 hr 30 min
2139,"Shaul ha-Melekh St.  4,Ashdod",NA
2140,"Derekh ha-Bsamim  14,Eilat",3 hr 30 min - 4 hr 40 min
2141,"Shmaryahu Levin St.  15,Tel Aviv-Yafo",40 min - 1 hr 5 min
2142,Karl Netter St. Rishon LeTsiyon,
2143,"Ha-Perakh St.  94,Rishon LeTsiyon",20 - 40 min
2144,"Tsora St.  3,Holon",24 - 45 min
2145,Ha-Sar Shapira St. Bat Yam,26 - 50 min
2146,HaPalmach St. Bat Yam,24 - 40 min
2147,Shabazi St. Ramla,16 - 40 min
2148,"Agas St.  9,Ashdod",28 - 50 min
2149,Mishol Susya Beersheba,1 hr - 1 hr 40 min
2150,"Sderot Hativat HaNegev  27,Eilat",NA
2151,"Yerushalayim St.  59,Bat Yam",24 - 45 min
2152,"Sokolov St.  28,Rishon LeTsiyon",16 - 28 min
2153,"Zeev Jabotinsky St.  30,Holon",26 - 45 min
2154,Ha-Sar Shapira St. Bat Yam,26 - 50 min
2155,Ha-Neviim St. Bat Yam,
2156,Kehilat Canada St. Tel Aviv-Yafo,24 - 40 min
2157,Uzi Hitman St. Ramla,
2158,Masada St. Haifa,1 hr 30 min - 2 hr 20 min
2159,HaGuy St. Ness Ziona,14 - 28 min
2160,"Gershom St.  3,Ramat Gan",35 min - 1 hr 5 min
2161,Yoel Salomon St. Netanya,1 hr 10 min - 1 hr 50 min
2162,Ehud Manor St. Netanya,1 hr 5 min - 1 hr 40 min
2163,Menachem Begin St. Netanya,1 hr 5 min - 1 hr 40 min
2164,Ha-Rav Nisanbaum St. Bat Yam,24 - 45 min
2165,Haim Hefer St. Rishon LeTsiyon,20 - 35 min
2166,"Ein Gedi St.  9,Rosh Haayin",40 min - 1 hr 10 min
2167,Shmuel HaNatziv St. Netanya,1 hr 10 min - 1 hr 50 min
2168,Yoseftal St. Ramla,
2169,Yehuda Stein St. Ramla,16 - 35 min
2170,"HaHashmonaim St.  52,Netanya",1 hr 10 min - 1 hr 50 min
2171,HaKotel HaMaaravi St. Beer Sheva,1 hr - 1 hr 40 min
2172,Wingate St. Beer Sheva,55 min - 1 hr 30 min
2173,Yehuda Halevi St. Beer Sheva,55 min - 1 hr 30 min
2174,Hahida St. Beer Sheva,
2175,Yigal Alon St. Tel Aviv-Yafo,30 min - 1 hr
2176,"HaMuchtar St.  7,Beer Sheva",1 hr - 1 hr 40 min
2177,"HaMuchtar St.  7,Beer Sheva",1 hr - 1 hr 40 min
2178,"Rambam St.  62,Beer Sheva",1 hr - 1 hr 40 min
2179,"Yaakov Schiffer St.  6,Netanya",1 hr 5 min - 1 hr 40 min
2180,Sokolov St. Holon,26 - 50 min
2181,"Rambam St.  32,Beer Sheva",1 hr - 1 hr 40 min
2182,"Henri Kendel St.  12,Beer Sheva",1 hr - 1 hr 40 min
2183,Rut Shapira St. Beer Sheva,1 hr 5 min - 1 hr 40 min
2184,"Henri Kendel St.  10,Be'er Sheva",1 hr - 1 hr 40 min
2185,"HaMuchtar St.  7,Beer Sheva",1 hr - 1 hr 40 min
2186,Moriya St. Beer Sheva,1 hr - 1 hr 40 min
2187,"Sderot Yerushalayim  7,Beersheba",1 hr - 1 hr 40 min
2188,"Saar St.  7,Kfar Vradim",NA
2189,"Trumpeldor St.  33,Netanya",1 hr 10 min - 1 hr 50 min
2190,Nissim Aloni St. Tel Aviv-Yafo,40 min - 1 hr 5 min
2191,"Yitshak Sadeh St.  4,Bat Yam",
2192,Dugit St. Ramla,16 - 35 min
2193,Akhad ha-Am St. Ashdod,28 - 55 min
2194,Shaar ha-Gai St. Beer Sheva,1 hr - 1 hr 40 min
2195,Kdoshei Belsen St. Netanya,1 hr 10 min - 1 hr 50 min
2196,"Yoseftal St.  45,Bat Yam",
2197,Yamit St. Rishon LeTsiyon,20 - 40 min
2198,Ha-Zmora St. Rishon LeTsiyon,
2199,Mordehai HaYehudi St. Rishon LeTsiyon,22 - 40 min
2200,HaMegila St. Rishon LeTsiyon,22 - 40 min
2201,Alter David Kurtzman St. Rishon LeTsiyon,18 - 35 min
2202,Ha-Yekev St. Rishon LeTsiyon,18 - 35 min
2203,Aba Hillel Silver St. Rishon LeTsiyon,18 - 35 min
2204,Nov St. Rishon LeTsiyon,22 - 40 min
2205,"Sderot Hayim Weizman  51,Netanya",1 hr 10 min - 1 hr 50 min
2206,Moshe Kleinman St. Jerusalem,50 min - 1 hr 25 min
2207,"Dror St.  15,Rishon LeTsiyon",20 - 35 min
2208,Givati St. Rishon LeTsiyon,20 - 40 min
2209,"Yona Bugla St.  15,Rishon LeTsiyon",20 - 35 min
2210,HaRav Tana St. Beer Sheva,1 hr - 1 hr 50 min
2211,Mikhael Neeman St. Tel Aviv-Yafo,50 min - 1 hr 15 min
2212,"Exodus St.  15,Netanya",1 hr 5 min - 1 hr 50 min
2213,"HaNurit St.  20,Ashdod",24 - 45 min
2214,Ha-Zohar St. Petah Tikva,40 min - 1 hr 5 min
2215,Baal Shem Tov St. Petah Tikva,40 min - 1 hr 5 min
2216,HaRav Uziel St. Bat Yam,24 - 45 min
2217,"Ha-Zamir St.  7,Yavne",12 - 22 min
2218,"Bar Kochva St.  16,Netanya",1 hr 10 min - 1 hr 50 min
2219,"Gad Machnes St.  6,Netanya",1 hr 10 min - 1 hr 50 min
2220,"Ha-Gila St.  17,Netanya",1 hr 5 min - 1 hr 50 min
2221,"David HaMelech St.  3,Netanya",1 hr 10 min - 1 hr 50 min
2222,"Isser Harel St.  7,Netanya",1 hr 10 min - 1 hr 50 min
2223,"Yehuda Halevi St.  23,Netanya",1 hr 10 min - 1 hr 50 min
2224,Har Tsiyon St. Netanya,1 hr 10 min - 1 hr 50 min
2225,"Sokolov St.  24,Netanya",1 hr 10 min - 1 hr 50 min
2226,"Arye Motskin St.  27,Netanya",1 hr 5 min - 1 hr 40 min
2227,"Sderot Jabotinsky  8,Netanya",1 hr 10 min - 1 hr 50 min
2228,"Sderot Hayim Weizman  37,Netanya",1 hr 10 min - 1 hr 50 min
2229,"Ha-Rav Herzog St.  12,Netanya",1 hr 10 min - 1 hr 50 min
2230,"Sderot Yerushalayim  37,Netanya",1 hr 10 min - 1 hr 50 min
2231,"HaCongress HaTsiyoni  6,Netanya",50 min - 1 hr 20 min
2232,"Reuven Barkat St.  9,Netanya",
2233,"Yoel Salomon St.  12,Netanya",1 hr 10 min - 1 hr 50 min
2234,"Elkalai St.  19,Netanya",1 hr 10 min - 1 hr 50 min
2235,"Sderot Jabotinsky  8,Netanya",1 hr 10 min - 1 hr 50 min
2236,"Yoel Salomon St.  14,Netanya",1 hr 10 min - 1 hr 50 min
2237,"Yosef Lapid St.  1,Netanya",1 hr 5 min - 1 hr 50 min
2238,"Emek Khefer St.  92,Netanya",1 hr 10 min - 1 hr 50 min
2239,"Gad Machnes St.  19,Netanya",1 hr 10 min - 2 hr
2240,"Derech Raziel  10,Netanya",1 hr 5 min - 1 hr 50 min
2241,"Yehuda Halevi St.  64,Netanya",1 hr 10 min - 1 hr 50 min
2242,"Pierre Koenig St.  11,Netanya",1 hr 5 min - 1 hr 50 min
2243,"Ha-Lamed Hei St.  6,Netanya",1 hr 10 min - 1 hr 50 min
2244,"Ben Avi  44,Netanya",1 hr 10 min - 1 hr 50 min
2245,"Avner Ben Ner St.  14,Netanya",1 hr 10 min - 1 hr 50 min
2246,Beeri St. Netanya,
2247,"Shlomo ha-Melekh St.  4,Netanya",1 hr 10 min - 1 hr 50 min
2248,"Mordekhai Anielewicz St.  3,Netanya",1 hr 10 min - 1 hr 50 min
2249,"Yehuda Halevi St.  25,Netanya",1 hr 10 min - 1 hr 50 min
2250,"HaRav Kuk St.  55,Netanya",1 hr 10 min - 1 hr 50 min
2251,"Sderot Jabotinsky  36,Netanya",1 hr 10 min - 1 hr 50 min
2252,"A.D. Gordon St.  24,Netanya",1 hr 10 min - 1 hr 50 min
2253,"Moshe Shapira St.  9,Netanya",1 hr 10 min - 1 hr 50 min
2254,"Shlomo ha-Melekh St.  18,Netanya",1 hr 10 min - 1 hr 50 min
2255,"Beeri St.  71,Netanya",1 hr 10 min - 1 hr 50 min
2256,"Beeri St.  70,Netanya",1 hr 10 min - 1 hr 50 min
2257,"David Yellin St.  21,Netanya",1 hr 10 min - 1 hr 50 min
2258,Ha-Yedidut St. Netanya,1 hr 10 min - 1 hr 50 min
2259,"Smilanski St.  28,Netanya",1 hr 10 min - 1 hr 50 min
2260,"Sderot Jabotinsky  41,Netanya",1 hr 5 min - 1 hr 50 min
2261,"Kikar HaAtsmaut  4,Netanya",1 hr 10 min - 1 hr 50 min
2262,Rambam St. Beer Sheva,1 hr - 1 hr 40 min
2263,"A.D. Gordon St.  6,Lod",20 - 45 min
2264,"David HaMelech St.  3,Beer Sheva",55 min - 1 hr 25 min
2265,"Ha-Khashmonaim St.  6,Lod",20 - 45 min
2266,"Eliyahu Golomb St.  3,Lod",20 - 45 min
2267,"HaBesht St.  26,Holon",22 - 35 min
2268,"Givati St.  20,Bat Yam",26 - 50 min
2269,"Eli Cohen St.  4,Bat Yam",24 - 40 min
2270,Nirim St. Rishon LeTsiyon,22 - 45 min
2271,בני אמדורסקי Raanana,55 min - 1 hr 30 min
2272,"Ha-Khamisha St.  42,Rosh Haayin",40 min - 1 hr 10 min
2273,Herzl Rosenblum St. Beer Sheva,1 hr - 1 hr 40 min
2274,Sderot Yerushalayim Beersheba,1 hr - 1 hr 40 min
2275,Leo Piccard St. Beer Sheva,55 min - 1 hr 25 min
2276,Shaar ha-Gai St. Beer Sheva,1 hr - 1 hr 40 min
2277,Eliyahu ha-Navi St. Beer Sheva,55 min - 1 hr 25 min
2278,"Ha-Ilanot St.  98,Ramla",18 - 40 min
2279,HaTsanhanim St. Ramla,16 - 35 min
2280,Yitshak Ben Zvi St. Ramla,16 - 35 min
2281,Ha-Rama St. Ramla,
2282,"Sderot Hativat Yiftach  10,Lod",20 - 45 min
2283,"Aharon Ben Yosef St.  25,Ramla",18 - 40 min
2284,"Uzi Hitman St.  3,Netanya",1 hr 5 min - 1 hr 40 min
2285,"Ehud Manor St.  18,Netanya",1 hr 5 min - 1 hr 40 min
2286,"Dwight Eisenhower St.  3,Netanya",1 hr 5 min - 1 hr 40 min
2287,"Uzi Hitman St.  11,Netanya",1 hr 5 min - 1 hr 40 min
2288,"Uzi Hitman St.  5,Netanya",1 hr 5 min - 1 hr 40 min
2289,"Ehud Manor St.  7,Netanya",1 hr 5 min - 1 hr 40 min
2290,"Sderot Ben Gurion  141,Netanya",
2291,"Sderot Ben Gurion  2,Netanya",1 hr 10 min - 1 hr 50 min
2292,"Ha-Hadarim St.  19,Lod",20 - 45 min
2293,Akhad ha-Am St. Ashdod,28 - 55 min
2294,HaEtrog St. Ramla,16 - 35 min
2295,"Ha-Khamisha St.  42,Rosh Haayin",40 min - 1 hr 10 min
2296,HaEtrog St. Ramla,16 - 35 min
2297,"Ben Tsvi Boulevard  82,Netanya",1 hr 5 min - 1 hr 40 min
2298,"Ha-Khamisha St.  42,Rosh Haayin",40 min - 1 hr 10 min
2299,"Shaul Hadadi St.  14,Bat Yam",22 - 40 min
2300,Yosef Aharonovich St. Holon,22 - 40 min
2301,"HaHashmonaim St.  6,Bat Yam",24 - 45 min
2302,"HaBanim St.  25,Holon",24 - 40 min
2303,"Moshe Dayan St.  6,Ramla",16 - 35 min
